tp,tn,fp,fn,precision,recall,f_score,epoch,batch
90,3556,378,8,0.19230769230769187,0.9183673469387662,0.31802120141314005,1,0
87,3586,352,7,0.19817767653758495,0.9255319148936072,0.32645403377081517,1,10
101,3601,321,9,0.23933649289099468,0.9181818181818099,0.3796992481199713,1,20
97,3412,521,2,0.15695792880258874,0.9797979797979699,0.2705718270569439,1,30
93,3668,264,7,0.2605042016806715,0.9299999999999907,0.40700218818346373,1,40
86,3638,304,4,0.22051282051281992,0.9555555555555449,0.35833333333302714,1,50
106,3546,377,3,0.21946169772256682,0.9724770642201747,0.3581081081078064,1,60
84,3628,310,10,0.21319796954314665,0.8936170212765863,0.34426229508165473,1,70
99,3627,299,7,0.24874371859296418,0.9339622641509346,0.39285714285680906,1,80
93,3631,295,13,0.2396907216494839,0.8773584905660295,0.37651821862314316,1,90
83,3533,405,11,0.1700819672131144,0.882978723404246,0.2852233676973226,1,100
99,3578,351,4,0.2199999999999995,0.96116504854368,0.3580470162745599,1,110
90,3541,394,7,0.1859504132231401,0.9278350515463822,0.3098106712561751,1,120
94,3582,349,7,0.21218961625282118,0.9306930693069215,0.34558823529381394,1,130
105,3536,387,4,0.21341463414634101,0.9633027522935692,0.34941763727091646,1,140
86,3572,359,15,0.1932584269662917,0.8514851485148431,0.31501831501801236,1,150
100,3641,289,2,0.2570694087403592,0.9803921568627355,0.40733197555975065,1,160
91,3622,310,9,0.22693266832917647,0.9099999999999909,0.36327345309349135,1,170
103,3670,253,6,0.28932584269662837,0.9449541284403583,0.4430107526878111,1,180
103,3486,439,4,0.19003690036900334,0.9626168224298975,0.31741140215688846,1,190
88,3583,353,8,0.1995464852607705,0.9166666666666572,0.3277467411542675,1,200
103,3567,354,8,0.22538293216630145,0.9279279279279196,0.3626760563377124,1,210
93,3691,245,3,0.275147928994082,0.96874999999999,0.4285714285710821,1,220
83,3571,370,8,0.18322295805739472,0.9120879120879021,0.30514705882324966,1,230
84,3655,293,0,0.22281167108753255,0.9999999999999881,0.36442516268950514,1,240
95,3544,391,2,0.19547325102880617,0.979381443298959,0.3259005145794813,1,250
102,3476,449,5,0.18511796733212307,0.9532710280373743,0.31003039513650477,1,260
92,3549,390,1,0.1908713692946054,0.9892473118279465,0.31999999999972767,1,270
95,3485,443,9,0.17657992565055727,0.9134615384615298,0.2959501557629674,1,280
104,3565,358,5,0.22510822510822462,0.9541284403669638,0.3642732049033675,1,290
99,3555,375,3,0.20886075949367044,0.9705882352941082,0.3437499999997073,1,300
105,3462,461,4,0.18551236749116573,0.9633027522935692,0.31111111111083933,1,310
90,3509,425,8,0.1747572815533977,0.9183673469387662,0.29363784665552156,1,320
88,3428,508,8,0.14765100671140916,0.9166666666666572,0.2543352601153672,1,330
95,3699,229,9,0.29320987654320896,0.9134615384615298,0.4439252336444899,1,340
92,3501,429,10,0.17658349328214937,0.9019607843137167,0.29534510433359357,1,350
95,3402,529,6,0.15224358974358948,0.9405940594059313,0.26206896551700076,1,360
98,3488,444,2,0.18081180811808084,0.9799999999999902,0.30529595015549926,1,370
92,3545,393,2,0.18969072164948414,0.9787234042553088,0.31778929188228305,1,380
94,3556,379,3,0.198731501057082,0.9690721649484436,0.32982456140322514,1,390
87,3626,313,6,0.21749999999999944,0.9354838709677319,0.35294117647028067,1,400
89,3560,370,13,0.19389978213507583,0.8725490196078346,0.3172905525843716,1,410
100,3476,451,5,0.18148820326678733,0.9523809523809433,0.30487804878021796,1,420
82,3747,200,3,0.29078014184397055,0.9647058823529299,0.44686648501326554,1,430
96,3512,418,6,0.18677042801556384,0.9411764705882261,0.3116883116880343,1,440
93,3527,406,6,0.1863727454909816,0.9393939393939299,0.31103678929738154,1,450
92,3493,440,7,0.17293233082706733,0.92929292929292,0.291600633914156,1,460
94,3530,401,7,0.1898989898989895,0.9306930693069215,0.3154362416104557,1,470
94,3623,308,7,0.23383084577114369,0.9306930693069215,0.37375745526806714,1,480
106,3589,334,3,0.24090909090909035,0.9724770642201747,0.38615664845141073,1,490
84,3739,206,3,0.2896551724137921,0.9655172413792993,0.4456233421747089,1,500
99,3540,387,6,0.20370370370370328,0.942857142857134,0.3350253807103665,1,510
88,3510,423,11,0.17221135029354173,0.88888888888888,0.28852459016366155,1,520
86,3717,225,4,0.2765273311897097,0.9555555555555449,0.42892768079765464,1,530
95,3584,348,5,0.2144469525959363,0.9499999999999905,0.34990791896839063,1,540
105,3540,381,6,0.21604938271604893,0.9459459459459375,0.35175879396954535,1,550
95,3646,287,4,0.24869109947643914,0.9595959595959499,0.3950103950100664,1,560
91,3478,453,10,0.16727941176470557,0.9009900990098921,0.2821705426353939,1,570
96,3628,305,3,0.239401496259351,0.96969696969696,0.3839999999996809,1,580
91,3559,377,5,0.19444444444444403,0.9479166666666569,0.3226950354607092,1,590
105,3595,328,4,0.242494226327944,0.9633027522935692,0.3874538745384226,1,600
97,3569,360,6,0.21225382932166253,0.9417475728155249,0.34642857142827,1,610
97,3588,344,3,0.21995464852607657,0.9699999999999903,0.358595194084725,1,620
102,3485,437,8,0.1892393320964746,0.9272727272727189,0.3143297380582691,1,630
93,3584,347,8,0.21136363636363587,0.9207920792079117,0.34380776340080405,1,640
87,3548,390,7,0.18238993710691784,0.9255319148936072,0.30472854640953123,1,650
86,3590,353,3,0.19589977220956675,0.9662921348314498,0.32575757575729425,1,660
82,3632,313,5,0.20759493670886023,0.9425287356321731,0.34024896265530435,1,670
93,3561,374,4,0.19914346895074903,0.9587628865979283,0.3297872340422672,1,680
101,3626,298,7,0.2531328320801999,0.9351851851851766,0.3984220907294462,1,690
78,3460,491,3,0.1370826010544813,0.9629629629629511,0.23999999999978106,1,700
98,3677,248,9,0.2832369942196523,0.9158878504672812,0.43267108167734136,1,710
92,3581,355,4,0.20581655480984293,0.9583333333333234,0.338858195211494,1,720
97,3473,457,5,0.1750902527075809,0.9509803921568535,0.29573170731680964,1,730
109,3492,425,6,0.20411985018726553,0.9478260869565135,0.3359013867485517,1,740
93,3572,363,4,0.20394736842105218,0.9587628865979283,0.33634719710640026,1,750
89,3495,443,5,0.16729323308270644,0.9468085106382879,0.2843450479230665,1,760
84,3665,273,10,0.23529411764705815,0.8936170212765863,0.37250554323691887,1,770
108,3519,395,10,0.21471172962226595,0.9152542372881278,0.3478260869562127,1,780
110,3444,476,2,0.18771331058020446,0.9821428571428484,0.31518624641806775,1,790
103,3475,448,6,0.18693284936479093,0.9449541284403583,0.3121212121209354,1,800
91,3547,389,5,0.18958333333333294,0.9479166666666569,0.3159722222219433,1,810
92,3583,354,3,0.2062780269058291,0.9684210526315689,0.34011090572983854,1,820
85,3431,513,3,0.14214046822742452,0.96590909090908,0.2478134110784928,1,830
105,3482,438,7,0.193370165745856,0.9374999999999917,0.32061068702261625,1,840
99,3464,464,5,0.17584369449378298,0.9519230769230678,0.2968515742126294,1,850
94,3530,407,1,0.18762475049900162,0.989473684210516,0.3154362416104692,1,860
96,3532,401,3,0.1931589537223336,0.96969696969696,0.3221476510064333,1,870
92,3525,406,9,0.1847389558232928,0.9108910891089019,0.30717863105147153,1,880
91,3503,433,5,0.17366412213740423,0.9479166666666569,0.2935483870965115,1,890
86,3471,467,8,0.15551537070524382,0.9148936170212669,0.26584234930423295,1,900
88,3558,379,7,0.18843683083511736,0.9263157894736745,0.3131672597861948,1,910
105,3570,353,4,0.22925764192139686,0.9633027522935692,0.37037037037005843,1,920
94,3553,376,9,0.19999999999999957,0.9126213592232921,0.32809773123879643,1,930
