TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
547,26692,2482,256
367,28806,731,73
717,27235,1509,516
239,27468,2240,30
4865,23670,333,1109
2947,25402,1151,477
761,26678,2448,90
1891,25741,1506,839
43,29088,838,8
1229,26982,1591,175
577,27451,1877,72
402,28597,952,26
89,28937,943,8
131,29405,438,3
1703,26286,1848,140
1423,26421,2010,123
146,27062,2754,15
233,27969,1753,22
508,27717,1427,325
156,28796,996,29
74,28908,983,12
712,27315,1570,380
676,27180,1479,642
116,28848,1001,12
154,28546,1241,36
18,28758,1186,15
67,29420,479,11
376,28027,1433,141
34,29652,290,1
128,28888,928,33
363,29117,467,30
349,29258,359,11
316,29069,557,35
11008,15831,491,2647
235,28480,1221,41
707,27601,1403,266
66,28989,917,5
204,28985,776,12
179,28942,845,11
33,29436,506,2
68,29275,630,4
13,29292,672,0
5,29218,753,1
40,29412,524,1
1370,27328,1093,186
517,28253,1129,78
889,27770,1238,80
73,29344,556,4
54,29389,532,2
1,29598,378,0
3,29506,468,0
478,28917,540,42
62,29041,870,4
505,27791,1504,177
64,28562,1335,16
325,28246,1331,75
95,28765,1114,3
11,29649,316,1
186,29264,522,5
3225,24839,1062,851
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
552,28973,420,32
91,29124,758,4
39,29249,689,0
57,29459,457,4
269,29086,605,17
49,29156,771,1
3,29306,668,0
62,29453,462,0
115,29127,731,4
0,29474,503,0
6985,21468,442,1082
919,27447,1404,207
277,28359,1306,35
1096,27527,1174,180
303,28841,809,24
0,29977,0,0
106,29029,825,17
194,28692,1075,16
10,29625,342,0
173,29005,776,23
488,28925,526,38
0,29977,0,0
28,29117,832,0
73,28874,1015,15
1585,26569,1452,371
115,28698,1131,33
93,29220,660,4
86,29178,707,6
1236,28557,149,35
8,29753,213,3
934,27621,1305,117
356,28686,876,59
158,29343,473,3
49,28863,1063,2
1601,27693,315,368
983,26646,2210,138
2021,26723,1097,136
1058,27039,1836,44
1019,27442,1409,107
3209,26096,484,188
1819,26410,1642,106
436,27633,1845,63
812,27051,2058,56
6858,21170,574,1375
0,29977,0,0
0,29977,0,0
