TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
265,29029,145,538
343,29462,75,97
553,28549,195,680
147,29649,59,122
5510,23712,291,464
3142,26391,162,282
747,29069,57,104
2230,27015,232,500
0,29926,0,51
1134,28331,242,270
502,29181,147,147
354,29510,39,74
44,29875,5,53
115,29834,9,19
1683,27658,476,160
1338,28053,378,208
52,29786,30,109
204,29638,84,51
344,29028,116,489
29,29783,9,156
30,29883,8,56
647,28661,224,445
752,28454,205,566
0,29847,2,128
1,29785,2,189
0,29944,0,33
37,29889,10,41
295,29367,93,222
19,29936,6,16
71,29789,27,90
329,29544,40,64
315,29581,36,45
260,29567,59,91
13133,15627,695,522
124,29664,37,152
534,28824,180,439
34,29902,4,37
173,29710,51,43
147,29726,61,43
0,29942,0,35
20,29904,1,52
0,29964,0,13
0,29971,0,6
10,29936,0,31
1313,28246,175,243
403,29297,85,192
836,28916,92,133
54,29879,21,23
42,29899,22,14
0,29976,0,1
0,29974,0,3
393,29392,65,127
18,29900,11,48
434,29186,109,248
0,29897,0,80
239,29511,66,161
76,29867,12,22
0,29965,0,12
171,29784,2,20
3467,25488,413,609
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
504,29274,119,80
1,29875,7,94
1,29938,0,38
32,29910,6,29
237,29646,45,49
0,29927,0,50
0,29974,0,3
52,29904,11,10
57,29840,18,62
0,29977,0,0
7569,21488,422,498
960,28571,280,166
199,29613,52,113
950,28513,188,326
260,29598,52,67
0,29977,0,0
35,29847,7,88
111,29732,35,99
0,29967,0,10
117,29747,34,79
401,29389,62,125
0,29977,0,0
0,29949,0,28
0,29889,0,88
1335,27757,264,621
39,29811,18,109
25,29879,1,72
60,29875,10,32
1242,28693,13,29
0,29966,0,11
812,28755,171,239
251,29498,64,164
126,29776,40,35
0,29926,0,51
1780,27940,68,189
1000,28731,125,121
1939,27659,161,218
973,28741,134,129
955,28776,75,171
3236,26424,156,161
1868,27945,107,57
436,29444,34,63
786,29081,28,82
7830,21271,473,403
0,29977,0,0
0,29977,0,0
