TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29174,0,803
267,29503,34,173
404,28531,213,829
0,29708,0,269
5261,23801,202,713
2825,26521,32,599
555,29087,39,296
2123,27027,220,607
0,29926,0,51
1028,28309,264,376
331,29255,73,318
289,29469,80,139
0,29880,0,97
0,29843,0,134
1469,27834,300,374
1163,28112,319,383
0,29816,0,161
0,29722,0,255
174,29078,66,659
0,29792,0,185
0,29891,0,86
600,28561,324,492
703,28312,347,615
0,29849,0,128
0,29787,0,190
0,29944,0,33
0,29899,0,78
0,29459,1,517
0,29942,0,35
1,29816,0,160
304,29558,26,89
299,29589,28,61
265,29523,103,86
13183,15319,1003,472
0,29701,0,276
298,28895,109,675
0,29906,0,71
0,29761,0,216
0,29787,0,190
0,29942,0,35
0,29905,0,72
0,29964,0,13
0,29971,0,6
0,29936,0,41
1059,28356,65,497
241,29343,39,354
679,28989,19,290
0,29900,0,77
0,29921,0,56
0,29976,0,1
0,29974,0,3
392,29362,95,128
0,29911,0,66
313,29182,113,369
0,29897,0,80
54,29573,4,346
0,29879,0,98
0,29965,0,12
0,29786,0,191
3231,25496,405,845
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
355,29321,72,229
0,29882,0,95
0,29938,0,39
0,29916,0,61
170,29676,15,116
0,29927,0,50
0,29974,0,3
0,29915,0,62
0,29858,0,119
0,29977,0,0
7434,21507,403,633
792,28691,160,334
0,29665,0,312
694,28600,101,582
145,29642,8,182
0,29977,0,0
0,29854,0,123
0,29767,0,210
0,29967,0,10
0,29781,0,196
397,29362,89,129
0,29977,0,0
0,29949,0,28
0,29889,0,88
1144,27816,205,812
0,29829,0,148
0,29880,0,97
0,29885,0,92
1224,28699,7,47
0,29966,0,11
673,28789,137,378
190,29519,43,225
0,29816,0,161
0,29926,0,51
1730,27908,100,239
744,28799,57,377
2005,27416,404,152
986,28563,312,116
871,28772,79,255
3231,26407,173,166
1826,27940,112,99
330,29473,5,169
720,29095,14,148
7854,21149,595,379
0,29977,0,0
0,29977,0,0
