TP,TN,FP,FN
0,1078891,293,0
0,1079184,0,0
0,1079084,100,0
0,1078866,318,0
0,1079175,9,0
0,1078564,620,0
0,1078590,594,0
0,1078396,788,0
0,1077373,1811,0
0,1078914,270,0
0,1079120,64,0
4788,1046723,2273,25400
9860,1060396,1776,7152
16603,1024338,6914,31329
2635,1066701,2479,7369
184761,854508,11744,28171
100497,951758,5270,21659
19857,1047128,1744,10455
70196,972478,9246,27264
16,1076010,1014,2144
32691,1021456,5752,19285
12132,1052756,2764,11532
8926,1062329,1551,6378
563,1075304,96,3221
2265,1073867,421,2631
48205,1001618,10238,19123
37465,1014522,8454,18743
535,1072704,492,5453
4057,1068443,929,5755
8509,1044798,3154,22723
477,1071980,384,6343
127,1075234,462,3361
17695,1032379,5821,23289
21138,1021846,7162,29038
146,1073838,166,5034
198,1071022,310,7654
0,1077648,144,1392
416,1074117,1703,2948
5991,1056004,3716,13473
250,1077676,44,1214
1950,1071986,470,4778
9361,1062186,2214,5423
8992,1064622,1274,4296
7960,1062542,2870,5812
454235,555034,28646,41269
2138,1067601,803,8642
15672,1035263,6801,21448
452,1075971,509,2252
3308,1070365,563,4948
2459,1071273,627,4825
19,1077822,110,1233
236,1074829,1531,2588
0,1078538,50,596
0,1078013,915,256
177,1076819,801,1387
40165,1015288,5900,17831
11183,1052326,4262,11413
24833,1039982,4050,10319
615,1075785,279,2505
364,1076795,137,1888
0,1078788,324,72
0,1078915,129,140
12991,1056019,2473,7701
278,1075826,582,2498
11523,1048905,3331,15425
22,1075688,20,3454
5867,1062027,1753,9537
914,1075354,146,2770
0,1078683,61,440
4095,1071492,888,2709
117017,909745,16247,36175
0,1078574,610,0
0,1078947,237,0
0,1078379,805,0
0,1078969,215,0
0,1079177,7,0
0,1079104,80,0
0,1078849,335,0
0,1079183,1,0
0,1078491,693,0
16103,1049678,4918,8485
103,1073808,1352,3921
29,1076492,164,2499
631,1074739,1645,2169
7185,1065946,1674,4379
7,1076540,28,2609
0,1078932,44,208
1212,1075576,652,1744
1533,1073175,569,3907
0,1078428,724,32
263814,763137,17995,34238
26850,1032267,4601,15466
3599,1065695,1757,8133
27837,1025788,6340,19219
6642,1065150,1770,5622
0,1079142,42,0
662,1073742,694,4086
1935,1069161,1147,6941
0,1078333,327,524
1591,1070141,1383,6069
13259,1055825,2427,7673
0,1078727,441,16
0,1078089,3,1092
7,1075362,274,3541
41310,997803,9037,31034
275,1073438,98,5373
89,1075270,346,3479
978,1074911,685,2610
39296,1032894,1006,5988
0,1078235,245,704
23730,1036464,4252,14738
6890,1062406,1550,8338
2519,1072132,996,3537
20,1075324,1408,2432
56881,1005022,3666,13615
27449,1035589,3239,12907
61071,996555,5261,16297
26321,1036169,3703,12991
28464,1035734,2762,12224
107471,952070,5558,14085
58126,1007211,3177,10670
11789,1059905,1291,6199
22820,1046800,1224,8340
264746,768652,15704,30082
0,1079173,11,0
0,1076819,2365,0
