TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
583,27519,1655,220
412,29106,431,28
951,27326,1418,282
252,29081,627,17
5393,23639,364,581
3084,26255,298,340
784,28772,354,67
2314,26484,763,416
45,29731,195,6
1177,28058,515,227
567,28717,611,82
391,29290,259,37
94,29484,396,3
131,29764,79,3
1639,27596,538,204
1356,27805,626,190
136,29081,735,25
239,29330,392,16
629,27712,1432,204
169,29145,647,16
79,29484,407,7
889,27768,1117,203
1000,27441,1218,318
116,29161,688,12
163,28762,1025,27
25,29346,598,8
69,29535,364,9
436,28572,888,81
35,29848,94,0
148,29264,552,13
370,29283,301,23
349,29369,248,11
327,29166,460,24
11808,15980,342,1847
247,28705,996,29
828,27740,1264,145
68,29557,349,3
203,29405,356,13
179,29391,396,11
33,29642,300,2
69,29544,361,3
13,29545,419,0
5,29800,171,1
39,29670,266,2
1385,27996,425,171
531,28748,634,64
895,28713,295,74
75,29586,314,2
55,29617,304,1
1,29859,117,0
3,29817,157,0
494,29002,455,26
63,29369,542,3
611,28284,1011,71
74,28854,1043,6
357,28635,942,43
95,29514,365,3
12,29920,45,0
181,29694,92,10
3421,25273,628,655
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
560,29004,389,24
94,29316,566,1
39,29601,337,0
60,29768,148,1
276,29370,321,10
48,29212,715,2
3,29899,75,0
61,29753,162,1
117,29289,569,2
0,29920,57,0
7330,21461,449,737
1033,28183,668,93
297,29199,466,15
1187,27651,1050,89
310,29272,378,17
0,29977,0,0
114,29314,540,9
197,29230,537,13
10,29902,65,0
187,29366,415,9
500,29002,449,26
0,29977,0,0
28,29750,199,0
79,29294,595,9
1689,26898,1123,267
130,28915,914,18
93,29564,316,4
88,29646,239,4
1261,28646,60,10
11,29781,185,0
979,28001,925,72
379,28967,595,36
160,29529,287,1
46,29321,605,5
1871,27527,481,98
1043,28517,339,78
2020,27310,510,137
1010,28503,372,92
1072,28265,586,54
3302,26253,327,95
1865,27852,200,60
486,29304,174,13
834,28953,156,34
7666,21312,432,567
0,29977,0,0
0,29977,0,0
