tp,tn,fp,fn,precision,recall,f_score,epoch,batch
78,3914,20,20,0.7959183673469307,0.7959183673469307,0.7959183673464306,1,0
80,3924,14,14,0.8510638297872251,0.8510638297872251,0.851063829786725,1,10
92,3917,5,18,0.948453608247413,0.8363636363636288,0.8888888888883822,1,20
87,3921,12,12,0.8787878787878699,0.8787878787878699,0.8787878787873699,1,30
89,3923,9,11,0.9081632653061132,0.8899999999999911,0.89898989898939,1,40
80,3930,12,10,0.869565217391295,0.8888888888888791,0.8791208791203696,1,50
89,3915,8,20,0.9175257731958669,0.8165137614678825,0.864077669902406,1,60
77,3926,12,17,0.865168539325833,0.8191489361702041,0.8415300546443,1,70
90,3916,10,16,0.899999999999991,0.849056603773577,0.8737864077664822,1,80
90,3917,9,16,0.9090909090909,0.849056603773577,0.878048780487297,1,90
78,3927,11,16,0.8764044943820126,0.8297872340425444,0.8524590163929335,1,100
86,3923,6,17,0.9347826086956421,0.8349514563106716,0.8820512820507745,1,110
88,3927,8,9,0.9166666666666572,0.9072164948453515,0.9119170984450865,1,120
81,3923,8,20,0.9101123595505516,0.801980198019794,0.8526315789468615,1,130
92,3917,6,17,0.9387755102040721,0.8440366972476987,0.8888888888883818,1,140
84,3927,4,17,0.9545454545454437,0.8316831683168235,0.8888888888883819,1,150
86,3923,7,16,0.924731182795689,0.8431372549019526,0.8820512820507741,1,160
80,3915,17,20,0.8247422680412286,0.799999999999992,0.8121827411162431,1,170
95,3919,4,14,0.9595959595959499,0.8715596330275149,0.9134615384610308,1,180
97,3921,4,10,0.9603960396039509,0.9065420560747579,0.9326923076917992,1,190
80,3917,19,16,0.8080808080808,0.8333333333333247,0.8205128205123123,1,200
86,3905,16,25,0.8431372549019526,0.7747747747747679,0.8075117370886952,1,210
81,3934,2,15,0.9759036144578196,0.8437499999999912,0.9050279329603863,1,220
76,3925,16,15,0.8260869565217303,0.835164835164826,0.8306010928956657,1,230
79,3936,12,5,0.8681318681318586,0.9404761904761794,0.9028571428566333,1,240
89,3932,3,8,0.9673913043478156,0.9175257731958669,0.9417989417984323,1,250
81,3919,6,26,0.93103448275861,0.7570093457943855,0.8350515463912492,1,260
80,3931,8,13,0.9090909090908988,0.8602150537634317,0.8839779005519768,1,270
86,3914,14,18,0.8599999999999914,0.826923076923069,0.8431372549014526,1,280
86,3912,11,23,0.8865979381443208,0.7889908256880662,0.8349514563101732,1,290
85,3918,12,17,0.8762886597938054,0.8333333333333252,0.8542713567834113,1,300
94,3911,12,15,0.8867924528301804,0.8623853211009096,0.8744186046506549,1,310
81,3924,10,17,0.8901098901098804,0.8265306122448896,0.8571428571423487,1,320
75,3922,14,21,0.8426966292134738,0.7812499999999919,0.8108108108103028,1,330
86,3922,6,18,0.9347826086956421,0.826923076923069,0.8775510204076562,1,340
86,3920,10,16,0.895833333333324,0.8431372549019526,0.8686868686863604,1,350
82,3917,14,19,0.8541666666666579,0.8118811881188038,0.8324873096441618,1,360
82,3922,10,18,0.8913043478260774,0.8199999999999918,0.8541666666661587,1,370
84,3924,14,10,0.8571428571428484,0.8936170212765863,0.8749999999994911,1,380
85,3928,7,12,0.9239130434782509,0.8762886597938054,0.8994708994703903,1,390
84,3937,2,9,0.9767441860465004,0.9032258064516032,0.9385474860330097,1,400
70,3919,11,32,0.8641975308641869,0.6862745098039149,0.76502732240387,1,410
78,3914,13,27,0.8571428571428478,0.7428571428571358,0.7959183673464332,1,420
78,3941,6,7,0.9285714285714176,0.9176470588235187,0.9230769230764122,1,430
93,3924,6,9,0.9393939393939299,0.911764705882344,0.925373134327849,1,440
80,3911,22,19,0.7843137254901884,0.8080808080808,0.7960199004970047,1,450
81,3923,10,18,0.8901098901098804,0.8181818181818099,0.8526315789468604,1,460
81,3916,15,20,0.8437499999999912,0.801980198019794,0.8223350253802026,1,470
89,3928,3,12,0.9673913043478156,0.8811881188118725,0.9222797927456055,1,480
92,3917,6,17,0.9387755102040721,0.8440366972476987,0.8888888888883818,1,490
84,3941,4,3,0.9545454545454437,0.9655172413792993,0.959999999999489,1,500
82,3913,14,23,0.8541666666666579,0.7809523809523735,0.8159203980094432,1,510
77,3913,20,22,0.7938144329896826,0.7777777777777699,0.7857142857137777,1,520
84,3935,7,6,0.923076923076913,0.933333333333323,0.9281767955796002,1,530
87,3925,7,13,0.9255319148936072,0.8699999999999913,0.8969072164943366,1,540
96,3912,9,15,0.9142857142857056,0.8648648648648571,0.8888888888883811,1,550
92,3931,2,7,0.9787234042553088,0.92929292929292,0.9533678756471589,1,560
85,3924,7,16,0.9239130434782509,0.8415841584158333,0.8808290155435334,1,570
86,3927,6,13,0.9347826086956421,0.86868686868686,0.9005235602089153,1,580
83,3927,9,13,0.9021739130434685,0.8645833333333244,0.8829787234037462,1,590
94,3917,6,15,0.9399999999999906,0.8623853211009096,0.8995215310999708,1,600
89,3924,5,14,0.9468085106382879,0.8640776699029042,0.9035532994918776,1,610
84,3924,8,16,0.9130434782608597,0.8399999999999916,0.8749999999994919,1,620
84,3914,8,26,0.9130434782608597,0.7636363636363568,0.8316831683163275,1,630
79,3918,13,22,0.8586956521739038,0.7821782178217744,0.8186528497404252,1,640
84,3928,10,10,0.8936170212765863,0.8936170212765863,0.8936170212760862,1,650
76,3938,5,13,0.9382716049382601,0.8539325842696533,0.8941176470583142,1,660
74,3935,10,13,0.8809523809523705,0.8505747126436685,0.8654970760228818,1,670
83,3921,14,14,0.8556701030927747,0.8556701030927747,0.8556701030922746,1,680
94,3914,10,14,0.9038461538461452,0.8703703703703624,0.8867924528296806,1,690
68,3937,14,13,0.8292682926829168,0.8395061728394959,0.8343558282203487,1,700
88,3919,6,19,0.9361702127659476,0.8224299065420484,0.8756218905467571,1,710
90,3933,3,6,0.9677419354838607,0.9374999999999903,0.9523809523804425,1,720
93,3927,3,9,0.96874999999999,0.911764705882344,0.9393939393934303,1,730
100,3911,6,15,0.9433962264150855,0.8695652173912968,0.9049773755651034,1,740
86,3928,7,11,0.924731182795689,0.8865979381443208,0.9052631578942275,1,750
79,3932,6,15,0.9294117647058715,0.8404255319148847,0.8826815642453013,1,760
72,3917,21,22,0.7741935483870885,0.7659574468085025,0.7700534759353207,1,770
92,3905,9,26,0.9108910891089019,0.779661016949146,0.840182648401322,1,780
92,3912,8,20,0.9199999999999908,0.8214285714285642,0.8679245283013801,1,790
97,3916,7,12,0.9326923076922987,0.8899082568807258,0.9107981220652194,1,800
77,3932,4,19,0.9506172839506056,0.802083333333325,0.8700564971746351,1,810
87,3926,11,8,0.8877551020408073,0.9157894736842009,0.9015544041445686,1,820
70,3928,16,18,0.8139534883720836,0.7954545454545364,0.8045977011489162,1,830
91,3912,8,21,0.9191919191919099,0.8124999999999928,0.8625592417056548,1,840
81,3917,11,23,0.8804347826086861,0.7788461538461464,0.8265306122443914,1,850
84,3927,10,11,0.8936170212765863,0.8842105263157802,0.8888888888883796,1,860
82,3925,8,17,0.911111111111101,0.82828282828282,0.8677248677243596,1,870
83,3923,8,18,0.9120879120879021,0.8217821782178137,0.8645833333328258,1,880
77,3928,8,19,0.9058823529411658,0.802083333333325,0.8508287292812605,1,890
76,3923,15,18,0.835164835164826,0.8085106382978637,0.8216216216211129,1,900
