TP,TN,FP,FN
0,956296,2980,0
0,956075,3201,0
0,955362,3914,0
0,957436,1840,0
0,955015,4261,0
0,956935,2341,0
0,957108,2168,0
0,954207,5069,0
0,957225,2051,0
0,953001,6275,0
0,955521,3755,0
24821,728770,203538,2147
14483,831381,112639,773
37785,752083,164169,5239
8538,784596,165744,398
176469,672191,98009,12607
101168,741680,109120,7308
25630,760655,171717,1274
79509,699536,173184,7047
1856,831898,125422,100
42017,783504,129400,4355
20109,785720,152508,939
13170,829940,115736,430
3218,833366,122518,174
4211,829870,125050,145
56577,780012,119312,3375
47206,781031,128261,2778
5083,784888,169044,261
8331,810780,139676,489
24210,754006,177358,3702
5646,830125,123063,442
2963,863010,93114,189
32895,763367,159285,3729
37021,744430,169974,7851
4364,855828,98776,308
6581,815211,136989,495
1151,756268,201752,105
2897,853801,102423,155
15544,795542,146294,1896
1294,906335,51613,34
5693,834786,118418,379
12370,858739,87325,842
11352,862947,84493,484
11574,855016,91900,786
393782,461907,56433,47154
8970,851266,98346,694
29554,794607,131401,3714
2319,867056,89800,101
7167,875243,76645,221
6311,871922,80826,217
1115,897326,60830,5
2455,881132,75600,89
519,894672,64060,25
221,871047,87997,11
1382,880569,77299,26
47558,800528,106940,4250
18882,828033,110999,1362
29828,806907,121089,1452
2688,901268,55216,104
1963,896472,60784,57
56,928163,31049,8
118,900296,58852,10
17305,853012,87672,1287
2454,878052,78708,62
21868,805151,129881,2376
2898,818376,137728,274
12732,817741,127739,1064
3166,845798,110186,126
369,911079,47809,19
5968,890721,62515,72
120407,730526,91826,16517
0,954764,4512,0
0,957447,1829,0
0,956505,2771,0
0,957116,2160,0
0,955869,3407,0
0,957479,1797,0
0,957554,1722,0
0,957526,1750,0
0,955895,3381,0
21417,871240,65796,823
3553,873639,81981,103
2289,883758,73154,75
2481,896444,60276,75
10074,873036,75820,346
2356,880639,76229,52
193,899011,60069,3
2650,893971,62613,42
4795,880911,73393,177
29,928429,30815,3
248438,648000,45548,17290
35920,795781,125695,1880
10201,832340,116444,291
40328,799837,117535,1576
10558,865735,82589,394
0,956182,3094,0
4061,872976,82040,199
7622,858045,93215,394
461,884281,74507,27
6656,862732,89652,236
17433,860011,80453,1379
8,903442,55818,8
962,871254,87042,18
3037,851630,104474,135
61070,766258,128486,3462
4882,827471,126749,174
3135,846195,109889,57
3164,894222,61822,68
39297,873197,45891,891
610,866799,91821,46
33040,817652,107376,1208
12966,835237,110451,622
5267,893798,60070,141
2131,845709,111319,117
57980,770996,125640,4660
34109,774407,148985,1775
66202,788191,102349,2534
34179,795685,128687,725
34685,794413,128675,1503
104079,795255,56049,3893
59302,815355,82825,1794
15346,826229,117055,646
26789,818028,113560,899
243052,625386,71994,18844
0,956751,2525,0
0,957422,1854,0
