TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29976,1,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29976,1,0
0,29977,0,0
0,29977,0,0
514,27165,2009,289
407,28866,671,33
791,27334,1410,442
243,28723,985,26
5112,23687,316,862
2992,26027,526,432
739,27688,1438,112
2020,26452,795,710
47,29248,678,4
1174,27805,768,230
570,28340,988,79
404,28849,700,24
88,29175,705,9
131,29624,219,3
1709,27087,1047,134
1428,27234,1197,118
147,28034,1782,14
236,28581,1141,19
587,27335,1809,246
171,28759,1033,14
80,29146,745,6
848,27497,1388,244
869,27246,1413,449
112,28853,996,16
156,28575,1212,34
23,28785,1159,10
66,29386,513,12
402,28394,1066,115
34,29861,81,1
144,29089,727,17
375,29158,426,18
356,29233,384,4
328,28937,689,23
11403,15893,429,2252
245,28172,1529,31
788,27612,1392,185
69,29077,829,2
203,28963,798,13
179,28911,876,11
33,29483,459,2
70,29076,829,2
13,29099,865,0
6,29256,715,0
39,29405,531,2
1434,27515,906,122
540,28430,952,55
916,28077,931,53
75,29249,651,2
53,29360,561,3
1,29649,327,0
3,29625,349,0
496,28741,716,24
64,29055,856,2
580,28310,985,102
69,28788,1109,11
328,28666,911,72
93,29328,551,5
12,29733,232,0
183,29363,423,8
3584,24685,1216,492
0,29976,1,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29976,1,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
551,29039,354,33
89,29202,680,6
39,29444,494,0
59,29535,381,2
272,29202,489,14
48,29250,677,2
3,29685,289,0
62,29655,260,0
111,29304,554,8
0,29810,167,0
7252,21425,485,815
1006,27885,966,120
280,28840,825,32
1138,27630,1071,138
308,29083,567,19
0,29977,0,0
107,29282,572,16
194,28959,808,16
10,29605,362,0
179,29158,623,17
501,28759,692,25
0,29975,2,0
28,29461,488,0
78,29085,804,10
1672,26531,1490,284
125,28873,956,23
92,29226,654,5
88,29532,353,4
1250,28611,95,21
9,29854,112,2
979,27664,1262,72
376,28780,782,39
159,29407,409,2
46,29196,730,5
1754,27708,300,215
1005,28114,742,116
2021,27115,705,136
1036,27828,1047,66
1031,27910,941,95
3267,26156,424,130
1838,27261,791,87
476,28861,617,23
818,28336,773,50
7095,21409,335,1138
0,29977,0,0
0,29976,1,0
