tp,tn,fp,fn,precision,recall,f_score,epoch,batch
41,1946,1989,56,0.02019704433497536,0.4226804123711297,0.03855195110475542,1,0
32,2394,1534,72,0.020434227330779042,0.30769230769230477,0.038323353293296336,1,10
25,2781,1155,71,0.021186440677966087,0.26041666666666397,0.03918495297791722,1,20
16,3131,794,91,0.01975308641975306,0.14953271028037243,0.03489640130840883,1,30
13,3454,470,95,0.026915113871635553,0.12037037037036927,0.043993231810191845,1,40
5,3615,309,103,0.01592356687898084,0.04629629629629587,0.02369668246407401,1,50
9,3724,203,96,0.04245283018867905,0.0857142857142849,0.05678233438441465,1,60
2,3820,111,99,0.01769911504424763,0.019801980198019608,0.018691588784548126,1,70
2,3868,64,98,0.030303030303029846,0.019999999999999803,0.024096385541689365,1,80
3,3877,36,116,0.07692307692307494,0.025210084033613234,0.0379746835439315,1,90
0,3920,12,100,0.0,0.0,0.0,1,100
1,3924,6,101,0.14285714285712245,0.009803921568627355,0.018348623853090478,1,110
0,3927,2,103,0.0,0.0,0.0,1,120
1,3926,1,104,0.49999999999975,0.009523809523809433,0.018691588785009698,1,130
0,3942,0,90,0.0,0.0,0.0,1,140
0,3923,2,107,0.0,0.0,0.0,1,150
1,3926,0,105,0.9999999999989999,0.009433962264150855,0.01869158878502786,1,160
1,3928,0,103,0.9999999999989999,0.009615384615384524,0.019047619047599818,1,170
2,3932,2,96,0.499999999999875,0.020408163265305916,0.039215686274433684,1,180
2,3929,0,101,0.9999999999995,0.01941747572815515,0.0380952380952,1,190
2,3931,0,99,0.9999999999995,0.019801980198019608,0.038834951456271846,1,200
2,3931,2,97,0.499999999999875,0.02020202020202,0.03883495145623527,1,210
0,3932,0,100,0.0,0.0,0.0,1,220
1,3927,1,103,0.49999999999975,0.009615384615384524,0.01886792452826451,1,230
1,3926,0,105,0.9999999999989999,0.009433962264150855,0.01869158878502786,1,240
1,3935,0,96,0.9999999999989999,0.010309278350515358,0.020408163265285505,1,250
1,3937,2,92,0.33333333333322224,0.010752688172042895,0.020833333333272357,1,260
2,3914,2,114,0.499999999999875,0.017241379310344678,0.033333333333268336,1,270
1,3934,0,97,0.9999999999989999,0.010204081632652958,0.020202020201999796,1,280
1,3925,1,105,0.49999999999975,0.009433962264150855,0.018518518518481828,1,290
2,3939,2,89,0.499999999999875,0.021978021978021737,0.04210526315781318,1,300
2,3919,1,110,0.6666666666664445,0.0178571428571427,0.034782608695600764,1,310
4,3924,2,102,0.6666666666665555,0.03773584905660342,0.07142857142846876,1,320
5,3925,5,97,0.49999999999995,0.049019607843136775,0.08928571428555006,1,330
3,3930,3,96,0.4999999999999167,0.03030303030303,0.057142857142748305,1,340
1,3922,3,106,0.2499999999999375,0.009345794392523277,0.018018018017948223,1,350
4,3928,2,98,0.6666666666665555,0.03921568627450942,0.07407407407396777,1,360
2,3919,3,108,0.39999999999992,0.018181818181818018,0.034782608695568394,1,370
2,3927,0,103,0.9999999999995,0.019047619047618865,0.037383177570056075,1,380
3,3921,3,105,0.4999999999999167,0.027777777777777523,0.05263157894726778,1,390
1,3927,4,100,0.19999999999996,0.009900990099009804,0.018867924528211646,1,400
1,3927,3,101,0.2499999999999375,0.009803921568627355,0.01886792452822891,1,410
0,3916,1,115,0.0,0.0,0.0,1,420
2,3940,2,88,0.499999999999875,0.022222222222221977,0.04255319148927932,1,430
1,3924,5,102,0.16666666666663887,0.009708737864077575,0.01834862385310664,1,440
2,3920,1,109,0.6666666666664445,0.01801801801801786,0.03508771929819376,1,450
2,3933,4,93,0.33333333333327775,0.02105263157894715,0.039603960395927076,1,460
6,3935,1,90,0.8571428571427346,0.062499999999999355,0.1165048543688031,1,470
3,3916,3,110,0.4999999999999167,0.02654867256637145,0.050420168067130296,1,480
4,3924,4,100,0.4999999999999375,0.038461538461538096,0.0714285714284375,1,490
5,3922,3,102,0.6249999999999218,0.04672897196261639,0.08695652173899948,1,500
7,3921,9,95,0.4374999999999727,0.06862745098039148,0.11864406779637376,1,510
6,3918,5,103,0.5454545454544959,0.055045871559632524,0.09999999999983182,1,520
5,3919,8,100,0.38461538461535505,0.047619047619047165,0.08474576271166691,1,530
5,3919,1,107,0.8333333333331945,0.04464285714285675,0.08474576271176645,1,540
4,3937,1,90,0.79999999999984,0.04255319148936125,0.08080808080798327,1,550
2,3925,8,97,0.19999999999998,0.02020202020202,0.03669724770625469,1,560
4,3922,3,103,0.5714285714284898,0.03738317757009311,0.07017543859637473,1,570
1,3947,2,82,0.33333333333322224,0.012048192771084192,0.023255813953420496,1,580
3,3929,2,98,0.59999999999988,0.02970297029702941,0.05660377358481471,1,590
1,3926,4,101,0.19999999999996,0.009803921568627355,0.018691588784957285,1,600
2,3919,5,106,0.2857142857142449,0.018518518518518347,0.034782608695537245,1,610
4,3928,2,98,0.6666666666665555,0.03921568627450942,0.07407407407396777,1,620
3,3921,3,105,0.4999999999999167,0.027777777777777523,0.05263157894726778,1,630
2,3919,1,110,0.6666666666664445,0.0178571428571427,0.034782608695600764,1,640
4,3917,6,105,0.39999999999996,0.03669724770642168,0.06722689075614745,1,650
0,3940,1,91,0.0,0.0,0.0,1,660
3,3918,3,108,0.4999999999999167,0.027027027027026786,0.05128205128195311,1,670
1,3923,1,107,0.49999999999975,0.009259259259259174,0.01818181818178215,1,680
