TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
729,25146,4028,74
436,28326,1211,4
1135,25022,3722,98
260,28161,1547,9
5610,23164,839,364
3233,25671,882,191
825,27668,1458,26
2534,25460,1787,196
51,28943,983,0
1328,26560,2013,76
621,27294,2034,28
420,28211,1338,8
96,28532,1348,1
131,29040,803,3
1774,26714,1420,69
1486,26803,1628,60
151,27663,2153,10
249,28418,1304,6
763,25263,3881,70
178,28082,1710,7
84,28664,1227,2
1030,26243,2642,62
1173,25392,3267,145
122,28482,1367,6
177,27717,2070,13
31,27863,2081,2
73,28785,1114,5
481,26838,2622,36
35,29711,231,0
158,28290,1526,3
383,28820,764,10
356,29062,555,4
343,28423,1203,8
12718,15617,705,937
270,27552,2149,6
923,26016,2988,50
70,28385,1521,1
210,28556,1205,6
185,28397,1390,5
33,29401,541,2
70,28931,974,2
13,28928,1036,0
6,29247,724,0
39,29393,543,2
1521,26271,2150,35
574,27342,2040,21
959,27065,1943,10
77,29393,507,0
55,29425,496,1
1,29788,188,0
3,29681,293,0
507,28206,1251,13
65,28510,1401,1
656,27171,2124,26
78,27775,2122,2
378,27806,1771,22
97,28757,1122,1
12,29721,244,0
190,29172,614,1
3871,23620,2281,205
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
571,28811,582,13
95,28907,975,0
39,29116,822,0
60,29481,435,1
281,28801,890,5
48,28981,946,2
3,29663,311,0
61,29471,444,1
117,29017,841,2
0,29801,176,0
7801,20689,1221,266
1110,27107,1744,16
308,27755,1910,4
1242,26429,2272,34
324,28728,922,3
0,29977,0,0
122,28932,922,1
207,28372,1395,3
10,29782,185,0
194,28330,1451,2
514,28248,1203,12
0,29653,324,0
28,29438,511,0
87,28323,1566,1
1882,25206,2815,74
140,27834,1995,8
97,29124,756,0
92,29060,825,0
1268,28569,137,3
11,29431,535,0
1021,26980,1946,30
402,27953,1609,13
161,29175,641,0
51,28074,1852,0
1901,27113,895,68
1101,26795,2061,20
2120,26306,1514,37
1092,26653,2222,10
1105,26989,1862,21
3366,25950,630,31
1905,27655,397,20
493,28956,522,6
854,28471,638,14
7982,20583,1161,251
0,29977,0,0
0,29977,0,0
