tp,tn,fp,fn,precision,recall,f_score,epoch,batch
51,2136,1797,48,0.027597402597402582,0.5151515151515099,0.052388289676328685,1,0
42,2582,1338,70,0.030434782608695633,0.37499999999999667,0.05630026809637581,1,10
19,2871,1061,81,0.017592592592592576,0.18999999999999811,0.03220338983035329,1,20
9,3303,617,103,0.014376996805111798,0.08035714285714214,0.0243902439021815,1,30
8,3582,341,101,0.022922636103151796,0.07339449541284336,0.03493449781623103,1,40
5,3733,189,105,0.025773195876288527,0.045454545454545046,0.03289473684164322,1,50
2,3800,126,104,0.015624999999999879,0.01886792452830171,0.017094017093521367,1,60
0,3860,66,106,0.0,0.0,0.0,1,70
0,3880,47,105,0.0,0.0,0.0,1,80
1,3889,38,104,0.02564102564102498,0.009523809523809433,0.01388888888849373,1,90
1,3919,13,99,0.07142857142856633,0.009999999999999901,0.01754385964890705,1,100
0,3929,9,94,0.0,0.0,0.0,1,110
4,3936,2,90,0.6666666666665555,0.04255319148936125,0.07999999999988561,1,120
2,3928,2,100,0.499999999999875,0.01960784313725471,0.03773584905653044,1,130
1,3938,4,89,0.19999999999996,0.011111111111110988,0.0210526315788472,1,140
1,3922,2,107,0.33333333333322224,0.009259259259259174,0.018018018017965102,1,150
2,3940,1,89,0.6666666666664445,0.021978021978021737,0.042553191489299,1,160
4,3928,0,100,0.99999999999975,0.038461538461538096,0.07407407407400136,1,170
1,3932,3,96,0.2499999999999375,0.010309278350515358,0.01980198019794334,1,180
1,3927,2,102,0.33333333333322224,0.009708737864077575,0.01886792452824653,1,190
0,3929,1,102,0.0,0.0,0.0,1,200
2,3927,0,103,0.9999999999995,0.019047619047618865,0.037383177570056075,1,210
2,3921,5,104,0.2857142857142449,0.01886792452830171,0.03539823008837873,1,220
0,3937,3,92,0.0,0.0,0.0,1,230
3,3929,3,97,0.4999999999999167,0.0299999999999997,0.05660377358479779,1,240
1,3931,3,97,0.2499999999999375,0.010204081632652958,0.019607843137179164,1,250
0,3929,2,101,0.0,0.0,0.0,1,260
0,3918,3,111,0.0,0.0,0.0,1,270
0,3923,4,105,0.0,0.0,0.0,1,280
