TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
248,29052,122,555
354,29463,74,86
563,28543,201,670
157,29640,68,112
5560,23681,322,414
3136,26369,184,288
742,29072,54,109
2270,27013,234,460
7,29925,1,44
1090,28406,167,314
462,29230,98,187
356,29513,36,72
60,29868,12,37
123,29833,10,11
1586,27814,320,257
1279,28159,272,267
43,29796,20,118
186,29664,58,69
390,28984,160,443
74,29757,35,111
13,29885,6,73
631,28697,188,461
824,28400,259,494
9,29845,4,119
20,29765,22,170
0,29944,0,33
37,29890,9,41
317,29350,110,200
13,29939,3,22
65,29796,20,96
323,29561,23,70
309,29592,25,51
282,29546,80,69
13034,15739,583,621
143,29651,50,133
591,28770,234,382
46,29894,12,25
136,29747,14,80
111,29769,18,79
9,29942,0,26
37,29899,6,35
0,29964,0,13
0,29971,0,6
30,29931,5,11
1263,28273,148,293
380,29298,84,215
815,28937,71,154
48,29885,15,29
39,29908,13,17
0,29976,0,1
0,29974,0,3
452,29337,120,68
42,29879,32,24
475,29135,160,207
4,29895,2,76
276,29471,106,124
77,29870,9,21
0,29965,0,12
174,29782,4,17
3559,25366,535,517
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
514,29273,120,70
1,29879,3,94
0,29937,1,39
41,29905,11,20
246,29632,59,40
0,29926,1,50
0,29974,0,3
48,29909,6,14
76,29834,24,43
0,29977,0,0
7667,21379,531,400
900,28680,171,226
209,29612,53,103
1098,28359,342,178
268,29603,47,59
0,29977,0,0
55,29835,19,68
117,29731,36,93
0,29967,0,10
99,29760,21,97
457,29332,119,69
0,29977,0,0
0,29949,0,28
0,29889,0,88
1327,27772,249,629
34,29817,12,114
35,29877,3,62
63,29876,9,29
1256,28680,26,15
0,29966,0,11
731,28820,106,320
283,29498,64,132
123,29784,32,38
4,29925,1,47
1836,27889,119,133
1028,28702,154,93
1982,27604,216,175
940,28773,102,162
1026,28706,145,100
3243,26433,147,154
1849,27972,80,76
464,29433,45,35
808,29061,48,60
7913,21202,542,320
0,29977,0,0
0,29977,0,0
