tp,tn,fp,fn,precision,recall,f_score,epoch,batch
58,2033,1902,39,0.029591836734693865,0.5979381443298908,0.056392805055816744,1,0
56,2110,1813,53,0.029962546816479387,0.5137614678899036,0.056622851364910985,1,10
36,2040,1896,60,0.018633540372670798,0.3749999999999961,0.03550295857979143,1,20
38,2044,1879,71,0.01982263954094939,0.348623853211006,0.03751233958528809,1,30
52,2196,1722,62,0.029312288613303254,0.456140350877189,0.05508474576259834,1,40
55,2233,1692,52,0.03148254149971378,0.5140186915887802,0.059331175835921394,1,50
48,2289,1641,54,0.028419182948490215,0.47058823529411303,0.05360134003339337,1,60
47,2314,1626,45,0.02809324566646741,0.5108695652173858,0.05325779036817308,1,70
52,2357,1575,48,0.03196066379840195,0.5199999999999948,0.06022003474221858,1,80
53,2367,1568,44,0.0326958667489204,0.546391752577314,0.06169965075658722,1,90
58,2371,1564,39,0.03575832305795312,0.5979381443298908,0.06748109365899756,1,100
55,2403,1527,47,0.03476611883691528,0.5392156862745046,0.06532066508302152,1,110
45,2410,1524,53,0.02868068833652006,0.4591836734693831,0.053989202159457364,1,120
45,2451,1475,61,0.029605263157894718,0.4245283018867885,0.05535055350541312,1,130
58,2511,1423,40,0.03916272788656311,0.5918367346938715,0.07346421785928817,1,140
52,2522,1412,46,0.035519125683060086,0.5306122448979538,0.06658130601780805,1,150
63,2551,1368,50,0.04402515723270437,0.5575221238938004,0.08160621761644454,1,160
57,2552,1374,49,0.039832285115303956,0.5377358490565988,0.07417046193871338,1,170
61,2556,1376,39,0.04244954766875432,0.6099999999999939,0.07937540663618273,1,180
73,2559,1377,23,0.05034482758620686,0.7604166666666587,0.09443725743843451,1,190
60,2596,1346,30,0.04267425320056896,0.6666666666666593,0.08021390374320232,1,200
65,2575,1353,39,0.045839210155148066,0.624999999999994,0.08541392904060845,1,210
72,2641,1282,37,0.05317577548005905,0.6605504587155903,0.09842788790143409,1,220
73,2650,1284,25,0.05379513633013998,0.7448979591836659,0.10034364261155808,1,230
67,2610,1324,31,0.048166786484543464,0.6836734693877482,0.08999328408315428,1,240
67,2621,1316,28,0.048445408532176396,0.7052631578947295,0.09066305818661845,1,250
70,2647,1274,41,0.0520833333333333,0.630630630630625,0.09621993127133661,1,260
78,2708,1225,21,0.059861857252494204,0.78787878787878,0.11126961483581727,1,270
69,2553,1366,44,0.04808362369337976,0.6106194690265433,0.08914728682156997,1,280
58,2740,1201,33,0.04606830818109608,0.6373626373626304,0.08592592592580009,1,290
78,2689,1242,23,0.05909090909090905,0.7722772277227646,0.10978184377185936,1,300
60,2609,1309,54,0.043827611395178934,0.5263157894736796,0.08091706001334414,1,310
74,2728,1202,28,0.05799373040752347,0.7254901960784242,0.1074020319301966,1,320
79,2730,1200,23,0.06176700547302576,0.7745098039215611,0.1144098479361411,1,330
77,2653,1272,30,0.05707931801334318,0.7196261682242924,0.10576923076909446,1,340
80,2652,1278,22,0.058910162002945465,0.7843137254901884,0.1095890410957603,1,350
77,2511,1422,22,0.05136757838559036,0.7777777777777699,0.09637046307873222,1,360
73,2631,1302,26,0.05309090909090906,0.7373737373737299,0.09905020352769003,1,370
82,2569,1359,22,0.05690492713393473,0.7884615384615309,0.10614886731379017,1,380
82,2675,1258,17,0.06119402985074623,0.82828282828282,0.11396803335636929,1,390
84,2690,1230,28,0.06392694063926936,0.7499999999999933,0.11781206171093503,1,400
90,2762,1156,24,0.07223113964686993,0.7894736842105194,0.13235294117631682,1,410
88,2569,1352,23,0.061111111111111074,0.7927927927927857,0.1134751773048315,1,420
86,2779,1147,20,0.06974858069748575,0.8113207547169735,0.12845407020149702,1,430
75,2786,1153,18,0.0610749185667752,0.8064516129032172,0.11355034065089092,1,440
87,2644,1275,26,0.06387665198237881,0.769911504424772,0.11796610169477362,1,450
93,2645,1266,28,0.06843267108167767,0.7685950413223077,0.1256756756755254,1,460
85,2663,1270,14,0.06273062730627302,0.8585858585858499,0.11691884456658545,1,470
95,2787,1132,18,0.07742461287693556,0.8407079646017626,0.14179104477596474,1,480
79,2705,1232,16,0.06025934401220438,0.8315789473684123,0.11237553342803885,1,490
80,2700,1233,19,0.06092916984006089,0.8080808080808,0.11331444759193744,1,500
79,2790,1145,18,0.06454248366013067,0.8144329896907133,0.11960635881894022,1,510
90,2755,1175,12,0.07114624505928849,0.882352941176462,0.13167520117030798,1,520
78,2746,1194,14,0.06132075471698109,0.8478260869565126,0.11436950146614971,1,530
89,2816,1117,10,0.07379767827529016,0.8989898989898899,0.13639846743280978,1,540
89,2846,1087,10,0.07568027210884348,0.8989898989898899,0.13960784313711147,1,550
75,2787,1153,17,0.0610749185667752,0.815217391304339,0.1136363636362338,1,560
82,2694,1238,18,0.06212121212121208,0.8199999999999918,0.1154929577463478,1,570
68,2074,1851,39,0.03543512245961437,0.6355140186915829,0.06712734452112398,1,580
64,2381,1554,33,0.03955500618046969,0.6597938144329829,0.07463556851301273,1,590
82,2655,1271,24,0.060606060606060566,0.7735849056603701,0.11240575736792542,1,600
60,2607,1337,28,0.0429491768074445,0.6818181818181741,0.08080808080796921,1,610
72,2456,1471,33,0.046662346079066726,0.6857142857142792,0.08737864077657963,1,620
82,2335,1596,19,0.04886769964243144,0.8118811881188038,0.09218662169747573,1,630
81,2349,1582,20,0.04870715574263377,0.801980198019794,0.0918367346937695,1,640
90,2500,1419,23,0.059642147117296186,0.7964601769911435,0.1109741060417938,1,650
76,2528,1396,32,0.05163043478260866,0.7037037037036972,0.09620253164544215,1,660
76,2560,1374,22,0.05241379310344824,0.7755102040816247,0.09819121447016552,1,670
77,2635,1292,28,0.056245434623812963,0.7333333333333264,0.10447761194016607,1,680
78,2597,1340,17,0.05500705218617768,0.8210526315789388,0.10310641110364953,1,690
58,2614,1333,27,0.04169662113587345,0.6823529411764626,0.07859078590775044,1,700
79,2570,1350,33,0.05528341497550731,0.7053571428571366,0.10253082414003381,1,710
77,2613,1309,33,0.05555555555555552,0.6999999999999936,0.10294117647045187,1,720
82,2608,1322,20,0.05840455840455837,0.8039215686274431,0.1088977423637514,1,730
76,2561,1370,25,0.05255878284923925,0.752475247524745,0.09825468648985844,1,740
69,2561,1379,23,0.04765193370165743,0.7499999999999919,0.08961038961027716,1,750
94,2621,1300,17,0.06743185078909608,0.8468468468468393,0.1249169435214579,1,760
77,2653,1274,28,0.0569948186528497,0.7333333333333264,0.10576923076909679,1,770
92,2632,1295,13,0.06633020908435468,0.8761904761904679,0.12332439678271082,1,780
84,2652,1276,20,0.0617647058823529,0.8076923076922999,0.11475409836052361,1,790
85,2662,1270,15,0.06273062730627302,0.8499999999999915,0.11683848797238043,1,800
82,2596,1340,14,0.05766526019690573,0.8541666666666579,0.10803689064546769,1,810
87,2591,1329,25,0.061440677966101656,0.7767857142857074,0.11387434554960223,1,820
89,2637,1288,18,0.06463326071169204,0.8317757009345718,0.11994609164407088,1,830
96,2606,1317,13,0.0679405520169851,0.8807339449541204,0.12614980289079986,1,840
73,2669,1276,14,0.05411415863602665,0.8390804597701054,0.1016713091920866,1,850
93,2642,1279,18,0.06778425655976672,0.8378378378378303,0.1254214430207649,1,860
104,2688,1217,23,0.0787282361847085,0.8188976377952691,0.14364640883961882,1,870
85,2739,1187,21,0.06682389937106914,0.8018867924528227,0.12336719883875479,1,880
92,2711,1211,18,0.07060629316960855,0.8363636363636288,0.13021939136574445,1,890
73,2769,1173,17,0.0585874799357945,0.8111111111111021,0.1092814371256227,1,900
81,2647,1283,21,0.05938416422287386,0.7941176470588158,0.11050477489755116,1,910
92,2593,1332,15,0.06460674157303367,0.8598130841121415,0.12018288700182934,1,920
82,2689,1242,19,0.06193353474320237,0.8118811881188038,0.11508771929811375,1,930
70,2710,1234,18,0.053680981595091985,0.7954545454545364,0.10057471264355958,1,940
77,2636,1305,14,0.05571635311143267,0.8461538461538369,0.10454854039363819,1,950
84,2663,1266,19,0.06222222222222218,0.8155339805825164,0.11562284927722531,1,960
79,2665,1273,15,0.05843195266272185,0.8404255319148847,0.10926694329171786,1,970
107,2618,1289,18,0.07664756446991398,0.8559999999999932,0.14069690992752815,1,980
71,2833,1093,35,0.06099656357388311,0.6698113207547107,0.11181102362189407,1,990
93,2758,1161,20,0.07416267942583726,0.8230088495575149,0.13606437454264259,1,1000
98,2598,1318,18,0.06920903954802256,0.8448275862068894,0.1279373368144813,1,1010
