tp,tn,fp,fn,precision,recall,f_score,epoch,batch
85,1737,2159,51,0.037878787878787866,0.6249999999999954,0.07142857142857138,1,0
63,2192,1692,85,0.03589743589743588,0.4256756756756728,0.06621124540199678,1,10
49,2454,1438,91,0.03295225285810354,0.34999999999999754,0.06023355869698825,1,20
38,2763,1140,91,0.03225806451612901,0.29457364341085046,0.058148431522570695,1,30
26,3068,839,99,0.030057803468208057,0.20799999999999835,0.05252525252525242,1,40
28,3261,623,120,0.04301075268817198,0.18918918918918792,0.07008760951188968,1,50
16,3476,424,116,0.03636363636363628,0.1212121212121203,0.055944055944055736,1,60
13,3587,302,130,0.04126984126984114,0.09090909090909027,0.05676855895196482,1,70
5,3684,210,133,0.023255813953488264,0.03623188405797075,0.028328611898016835,1,80
3,3761,127,141,0.0230769230769229,0.02083333333333319,0.021897810218977947,1,90
9,3806,84,133,0.09677419354838607,0.0633802816901404,0.07659574468085042,1,100
4,3835,44,149,0.0833333333333316,0.026143790849673033,0.039800995024875226,1,110
7,3860,30,135,0.18918918918918406,0.04929577464788698,0.07821229050279242,1,120
3,3866,18,145,0.14285714285713608,0.020270270270270133,0.03550295857988124,1,130
4,3882,10,136,0.2857142857142653,0.02857142857142837,0.05194805194805127,1,140
5,3878,10,139,0.3333333333333111,0.03472222222222198,0.0628930817610055,1,150
5,3890,14,123,0.26315789473682827,0.039062499999999695,0.06802721088435283,1,160
14,3881,9,128,0.6086956521738867,0.09859154929577396,0.16969696969696765,1,170
11,3894,5,122,0.6874999999999571,0.08270676691729262,0.14765100671140743,1,180
10,3889,6,127,0.624999999999961,0.07299270072992647,0.1307189542483643,1,190
14,3882,8,128,0.6363636363636075,0.09859154929577396,0.17073170731707107,1,200
13,3883,8,128,0.6190476190475896,0.09219858156028304,0.16049382716049185,1,210
9,3883,12,128,0.4285714285714082,0.06569343065693382,0.11392405063290995,1,220
12,3885,7,128,0.6315789473683878,0.0857142857142851,0.1509433962264132,1,230
6,3902,10,114,0.37499999999997663,0.049999999999999586,0.08823529411764577,1,240
7,3902,5,118,0.5833333333332847,0.05599999999999956,0.10218978102189631,1,250
13,3888,10,121,0.5652173913043232,0.09701492537313361,0.16560509554139916,1,260
15,3866,7,144,0.6818181818181509,0.09433962264150884,0.16574585635358932,1,270
11,3894,8,119,0.5789473684210222,0.08461538461538397,0.1476510067114074,1,280
11,3911,6,104,0.6470588235293737,0.09565217391304265,0.16666666666666413,1,290
10,3904,6,112,0.624999999999961,0.08196721311475343,0.14492753623188195,1,300
15,3886,7,124,0.6818181818181509,0.10791366906474743,0.1863354037267058,1,310
11,3889,4,128,0.7333333333332844,0.07913669064748145,0.14285714285714102,1,320
11,3888,8,125,0.5789473684210222,0.08088235294117588,0.1419354838709659,1,330
11,3886,14,121,0.4399999999999824,0.0833333333333327,0.14012738853503007,1,340
10,3890,13,119,0.4347826086956333,0.07751937984496064,0.13157894736841932,1,350
17,3884,5,126,0.7727272727272376,0.11888111888111805,0.20606060606060353,1,360
12,3893,10,117,0.5454545454545207,0.09302325581395277,0.15894039735099127,1,370
16,3904,13,99,0.5517241379310155,0.1391304347826075,0.22222222222221916,1,380
7,3877,10,138,0.4117647058823288,0.048275862068965184,0.08641975308641868,1,390
13,3895,15,109,0.46428571428569776,0.10655737704917946,0.17333333333333104,1,400
5,3905,14,108,0.26315789473682827,0.04424778761061908,0.07575757575757462,1,410
4,1474,3,31,0.5714285714284898,0.11428571428571102,0.19047619047618142,1,420
12,3875,8,137,0.59999999999997,0.08053691275167732,0.14201183431952497,2,0
12,3869,11,140,0.52173913043476,0.07894736842105211,0.13714285714285557,2,9
12,3864,10,146,0.5454545454545207,0.07594936708860711,0.13333333333333186,2,19
12,3880,11,129,0.52173913043476,0.0851063829787228,0.1463414634146324,2,29
14,3876,8,134,0.6363636363636075,0.09459459459459396,0.16470588235293926,2,39
15,3891,10,116,0.599999999999976,0.11450381679389227,0.19230769230768985,2,49
12,3878,9,133,0.5714285714285443,0.0827586206896546,0.14457831325301032,2,59
13,3891,9,119,0.5909090909090641,0.09848484848484775,0.16883116883116664,2,69
15,3865,10,142,0.599999999999976,0.09554140127388475,0.16483516483516303,2,79
11,3921,7,93,0.6111111111110772,0.10576923076922976,0.18032786885245605,2,89
12,3892,13,115,0.47999999999998083,0.09448818897637722,0.15789473684210323,2,99
8,3892,19,113,0.29629629629628534,0.0661157024793383,0.10810810810810666,2,109
14,3875,11,132,0.5599999999999776,0.09589041095890345,0.1637426900584776,2,119
15,3888,2,127,0.8823529411764188,0.10563380281690067,0.1886792452830165,2,129
13,3888,11,120,0.5416666666666441,0.09774436090225491,0.16560509554139918,2,139
10,3893,9,120,0.5263157894736565,0.07692307692307633,0.13422818791946128,2,149
17,3876,5,134,0.7727272727272376,0.1125827814569529,0.1965317919075122,2,159
14,3890,7,121,0.666666666666635,0.10370370370370294,0.17948717948717718,2,169
10,3875,14,133,0.4166666666666493,0.06993006993006945,0.11976047904191475,2,179
10,3878,15,129,0.39999999999998403,0.07194244604316495,0.12195121951219363,2,189
15,3875,10,132,0.599999999999976,0.10204081632652992,0.17441860465116074,2,199
19,3882,4,127,0.8260869565217033,0.13013698630136897,0.2248520710059145,2,209
14,3860,8,150,0.6363636363636075,0.08536585365853606,0.15053763440860052,2,219
12,3892,15,113,0.444444444444428,0.09599999999999924,0.1578947368421032,2,229
21,3885,11,115,0.6562499999999795,0.15441176470588122,0.24999999999999703,2,239
15,3876,12,129,0.555555555555535,0.10416666666666595,0.17543859649122603,2,249
14,3863,12,143,0.5384615384615178,0.08917197452229243,0.15300546448087265,2,259
14,3867,14,137,0.4999999999999822,0.09271523178807886,0.15642458100558485,2,269
18,3868,11,135,0.6206896551723924,0.11764705882352865,0.19780219780219563,2,279
