TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
266,29012,162,537
332,29470,67,108
567,28520,224,666
165,29621,87,104
5602,23608,395,372
3127,26398,155,297
738,29061,65,113
2336,26944,303,394
0,29926,0,51
1107,28352,221,297
503,29162,166,146
340,29508,41,88
31,29879,1,66
124,29829,14,10
1505,27899,235,338
1173,28251,180,373
28,29808,8,133
160,29687,35,95
296,29055,89,537
29,29782,10,156
2,29890,1,84
618,28705,180,474
736,28471,188,582
7,29840,9,121
7,29780,7,183
0,29944,0,33
30,29892,7,48
262,29399,61,255
26,29934,8,9
58,29799,17,103
320,29566,18,73
303,29599,18,57
274,29554,72,77
13048,15673,649,607
122,29659,42,154
606,28694,310,367
39,29898,8,32
162,29719,42,54
133,29733,54,57
0,29942,0,35
10,29905,0,62
0,29964,0,13
0,29971,0,6
11,29936,0,30
1254,28276,145,302
375,29308,74,220
820,28929,79,149
45,29894,6,32
35,29914,7,21
0,29976,0,1
0,29974,0,3
426,29350,107,94
35,29886,25,31
487,29082,213,195
0,29897,0,80
272,29457,120,128
71,29875,4,27
0,29965,0,12
174,29784,2,17
3549,25347,554,527
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
516,29254,139,68
18,29853,29,77
0,29938,0,39
28,29912,4,33
247,29631,60,39
0,29927,0,50
0,29974,0,3
49,29908,7,13
76,29830,28,43
0,29977,0,0
7702,21357,553,365
938,28609,242,188
202,29609,56,110
1009,28449,252,267
241,29616,34,86
0,29977,0,0
41,29843,11,82
108,29732,35,102
0,29967,0,10
90,29765,16,106
438,29345,106,88
0,29977,0,0
0,29949,0,28
0,29889,0,88
1432,27649,372,524
17,29824,5,131
3,29880,0,94
57,29879,6,35
1259,28685,21,12
0,29966,0,11
892,28654,272,159
279,29489,73,136
117,29792,24,44
0,29926,0,51
1845,27863,145,124
946,28784,72,175
2006,27560,260,151
940,28779,96,162
1034,28668,183,92
3282,26393,187,115
1842,27973,79,83
473,29405,73,26
811,29064,45,57
7915,21226,518,318
0,29977,0,0
0,29977,0,0
