tp,tn,fp,fn,precision,recall,f_score,epoch,batch
84,3866,68,14,0.5526315789473648,0.8571428571428484,0.6719999999995179,1,0
86,3871,67,8,0.5620915032679702,0.9148936170212669,0.6963562753031666,1,10
99,3885,37,11,0.7279411764705829,0.8999999999999918,0.8048780487799868,1,20
95,3862,71,4,0.5722891566265026,0.9595959595959499,0.7169811320749983,1,30
89,3898,34,11,0.7235772357723519,0.8899999999999911,0.798206278026404,1,40
85,3896,46,5,0.6488549618320562,0.944444444444434,0.7692307692302793,1,50
102,3881,42,7,0.7083333333333285,0.935779816513753,0.80632411067144,1,60
78,3892,46,16,0.6290322580645111,0.8297872340425444,0.7155963302747322,1,70
94,3882,44,12,0.6811594202898502,0.8867924528301804,0.7704918032781908,1,80
97,3892,34,9,0.7404580152671699,0.9150943396226329,0.8185654008433804,1,90
80,3887,51,14,0.6106870229007587,0.8510638297872251,0.7111111111106184,1,100
95,3876,53,8,0.6418918918918876,0.9223300970873697,0.7569721115532949,1,110
92,3867,68,5,0.5749999999999964,0.948453608247413,0.7159533073925205,1,120
85,3882,49,16,0.6343283582089505,0.8415841584158333,0.7234042553186526,1,130
101,3889,34,8,0.7481481481481427,0.9266055045871475,0.8278688524585154,1,140
96,3894,37,5,0.7218045112781901,0.9504950495049411,0.8205128205123229,1,150
92,3900,30,10,0.7540983606557315,0.9019607843137167,0.821428571428068,1,160
87,3886,46,13,0.6541353383458598,0.8699999999999913,0.7467811158793319,1,170
102,3888,35,7,0.74452554744525,0.935779816513753,0.8292682926824265,1,180
99,3889,36,8,0.733333333333328,0.9252336448598045,0.8181818181813181,1,190
88,3881,55,8,0.6153846153846111,0.9166666666666572,0.7364016736396806,1,200
101,3879,42,10,0.7062937062937014,0.9099099099099017,0.7952755905506828,1,210
92,3903,33,4,0.7359999999999941,0.9583333333333234,0.8325791855198631,1,220
82,3885,56,9,0.5942028985507204,0.9010989010988912,0.7161572052396895,1,230
78,3908,40,6,0.6610169491525368,0.9285714285714176,0.7722772277222789,1,240
94,3884,51,3,0.648275862068961,0.9690721649484436,0.7768595041317446,1,250
97,3862,63,10,0.6062499999999962,0.9065420560747579,0.7265917602991396,1,260
85,3879,60,8,0.5862068965517201,0.9139784946236461,0.7142857142852321,1,270
93,3863,65,11,0.5886075949367051,0.8942307692307607,0.7099236641216532,1,280
95,3862,61,14,0.6089743589743551,0.8715596330275149,0.7169811320749822,1,290
98,3872,58,4,0.6282051282051242,0.9607843137254808,0.7596899224801361,1,300
103,3868,55,6,0.6518987341772111,0.9449541284403583,0.7715355805238555,1,310
87,3869,65,11,0.5723684210526279,0.8877551020408073,0.6959999999995178,1,320
80,3844,92,16,0.46511627906976477,0.8333333333333247,0.5970149253726701,1,330
88,3892,36,16,0.709677419354833,0.846153846153838,0.7719298245609005,1,340
91,3869,61,11,0.5986842105263118,0.8921568627450893,0.7165354330703799,1,350
86,3845,86,15,0.4999999999999971,0.8514851485148431,0.6300366300361593,1,360
94,3887,45,6,0.6762589928057505,0.9399999999999906,0.7866108786605945,1,370
91,3891,47,3,0.6594202898550677,0.9680851063829685,0.7844827586202008,1,380
83,3900,35,14,0.7033898305084686,0.8556701030927747,0.7720930232553115,1,390
88,3899,40,5,0.6874999999999947,0.9462365591397748,0.7963800904972429,1,400
82,3863,67,20,0.550335570469795,0.8039215686274431,0.6533864541827792,1,410
91,3855,72,14,0.5582822085889536,0.8666666666666585,0.6791044776114586,1,420
78,3922,25,7,0.7572815533980509,0.9176470588235187,0.829787234042049,1,430
97,3875,55,5,0.6381578947368379,0.9509803921568535,0.7637795275585685,1,440
84,3869,64,15,0.5675675675675638,0.84848484848484,0.6801619433193522,1,450
88,3877,56,11,0.6111111111111069,0.88888888888888,0.7242798353904577,1,460
88,3876,55,13,0.6153846153846111,0.8712871287128627,0.7213114754093449,1,470
91,3904,27,10,0.7711864406779596,0.9009900990098921,0.8310502283099978,1,480
102,3883,40,7,0.7183098591549245,0.935779816513753,0.8127490039835659,1,490
84,3912,33,3,0.7179487179487118,0.9655172413792993,0.8235294117642085,1,500
95,3882,45,10,0.6785714285714237,0.9047619047618962,0.7755102040811366,1,510
82,3849,84,17,0.49397590361445487,0.82828282828282,0.6188679245278291,1,520
86,3911,31,4,0.7350427350427288,0.9555555555555449,0.8309178743956358,1,530
93,3888,44,7,0.6788321167883162,0.9299999999999907,0.784810126581784,1,540
100,3873,48,11,0.6756756756756711,0.9009009009008928,0.7722007722002764,1,550
95,3890,43,4,0.6884057971014443,0.9595959595959499,0.8016877637125869,1,560
94,3878,53,7,0.6394557823129209,0.9306930693069215,0.7580645161285434,1,570
94,3886,47,5,0.666666666666662,0.94949494949494,0.783333333332842,1,580
86,3874,62,10,0.5810810810810771,0.895833333333324,0.7049180327864021,1,590
96,3861,62,13,0.6075949367088569,0.8807339449541204,0.719101123595017,1,600
95,3877,52,8,0.6462585034013562,0.9223300970873697,0.7599999999995094,1,610
91,3892,40,9,0.694656488549613,0.9099999999999909,0.78787878787829,1,620
