tp,tn,fp,fn,precision,recall,f_score,epoch,batch
58,1934,2003,37,0.02814167879670062,0.6105263157894673,0.05380333951754094,1,0
40,2621,1314,57,0.029542097488921695,0.4123711340206143,0.055134390075684964,1,10
28,2938,999,67,0.027263875365141164,0.2947368421052601,0.049910873440130114,1,20
20,3211,708,93,0.027472527472527434,0.17699115044247632,0.047562425683477134,1,30
16,3416,516,84,0.030075187969924755,0.15999999999999842,0.05063291139213852,1,40
20,3564,356,92,0.05319148936170198,0.178571428571427,0.0819672131144001,1,50
7,3670,266,89,0.025641025641025546,0.07291666666666591,0.03794037940340887,1,60
13,3770,153,96,0.07831325301204772,0.11926605504587047,0.09454545454497534,1,70
5,3804,121,102,0.03968253968253937,0.04672897196261639,0.04291845493512527,1,80
11,3862,71,88,0.134146341463413,0.11111111111111,0.12154696132546992,1,90
5,3879,50,98,0.09090909090908925,0.048543689320387884,0.06329113924005168,1,100
5,3893,43,91,0.10416666666666449,0.052083333333332794,0.06944444444399904,1,110
4,3883,35,110,0.10256410256409992,0.03508771929824531,0.052287581698965864,1,120
3,3906,20,103,0.13043478260869,0.028301886792452564,0.046511627906683006,1,130
8,3921,8,95,0.4999999999999688,0.0776699029126206,0.13445378151237006,1,140
4,3929,6,93,0.39999999999996,0.04123711340206143,0.07476635514001609,1,150
1,3913,10,108,0.09090909090908264,0.00917431192660542,0.01666666666649986,1,160
1,3930,7,94,0.12499999999998437,0.010526315789473575,0.01941747572801169,1,170
3,3922,5,102,0.37499999999995315,0.0285714285714283,0.053097345132610864,1,180
2,3915,2,113,0.499999999999875,0.017391304347825938,0.033613445378085735,1,190
3,3925,4,100,0.4285714285713673,0.02912621359223273,0.05454545454533439,1,200
2,3930,2,98,0.499999999999875,0.019999999999999803,0.038461538461463766,1,210
1,3918,3,110,0.2499999999999375,0.00900900900900893,0.017391304347758645,1,220
5,3933,2,92,0.7142857142856123,0.05154639175257679,0.09615384615371875,1,230
1,3918,3,110,0.2499999999999375,0.00900900900900893,0.017391304347758645,1,240
3,3930,4,95,0.4285714285713673,0.030612244897958874,0.057142857142731616,1,250
4,3923,3,102,0.5714285714284898,0.03773584905660342,0.07079646017687367,1,260
3,3930,2,97,0.59999999999988,0.0299999999999997,0.05714285714276536,1,270
4,3927,4,97,0.4999999999999375,0.039603960396039216,0.07339449541270668,1,280
1,3930,2,99,0.33333333333322224,0.009999999999999901,0.01941747572809841,1,290
3,3919,6,104,0.3333333333332963,0.028037383177569833,0.05172413793089047,1,300
3,3921,2,106,0.59999999999988,0.027522935779816262,0.05263157894728363,1,310
