TP,TN,FP,FN
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
683,25707,3467,120
398,29162,375,42
992,26375,2369,241
230,29059,649,39
4897,23861,142,1077
2887,26297,256,537
728,28202,924,123
2066,26590,657,664
40,29761,165,11
1143,28028,545,261
533,28764,564,116
401,29011,538,27
94,29101,779,3
130,29761,82,4
1673,27360,774,170
1361,27653,778,185
151,27745,2071,10
246,28805,917,9
687,26414,2730,146
173,28130,1662,12
83,29059,832,3
972,26475,2410,120
1095,26073,2586,223
121,28613,1236,7
174,28044,1743,16
28,28642,1302,5
72,29162,737,6
458,27380,2080,59
35,29867,75,0
145,29121,695,16
366,29286,298,27
348,29364,253,12
337,28830,796,14
11538,15955,367,2117
252,28402,1299,24
819,27620,1384,154
67,29533,373,4
208,29287,474,8
183,29273,514,7
33,29522,420,2
69,29291,614,3
13,29428,536,0
5,29641,330,1
39,29437,499,2
1422,27728,693,134
539,28578,804,56
906,28389,619,63
73,29389,511,4
55,29442,479,1
1,29766,210,0
3,29692,282,0
499,28706,751,21
64,29390,521,2
640,27343,1952,42
75,28115,1782,5
375,27811,1766,25
97,29518,361,1
12,29820,145,0
186,29486,300,5
3639,24750,1151,437
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
0,29977,0,0
562,28965,428,22
93,29263,619,2
38,29407,531,1
60,29645,271,1
274,29314,377,12
47,29167,760,3
3,29706,268,0
61,29626,289,1
114,29129,729,5
0,29830,147,0
7317,21440,470,750
968,28331,520,158
302,28693,972,10
1215,27039,1662,61
317,29122,528,10
0,29977,0,0
111,29277,577,12
202,28810,957,8
10,29761,206,0
192,28914,867,4
509,28710,741,17
0,29967,10,0
27,29724,225,1
76,29199,690,12
1650,26828,1193,306
117,29161,668,31
94,29476,404,3
89,29412,473,3
1244,28679,27,27
10,29659,307,1
966,27984,942,85
373,28961,601,42
160,29382,434,1
47,29180,746,4
1829,27388,620,140
1029,28197,659,92
1994,27271,549,163
988,28541,334,114
1047,28090,761,79
3291,26217,363,106
1866,27786,266,59
477,29232,246,22
833,28787,322,35
7454,21270,474,779
0,29977,0,0
0,29977,0,0
